City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
608,Ndele,CF,77.43,overcast clouds,8.4109,20.6473,
617,Ladario,BR,84.49,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
618,Coreau,BR,83.57,broken clouds,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
619,Governador Dix-Sept Rosado,BR,82.24,scattered clouds,-5.4577,-37.5209,clovis olveira
621,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
626,Montevideo,UY,84.22,clear sky,-34.8335,-56.1674,KOLPING Hotel
631,Pundaguitan,PH,82.0,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
632,Itarema,BR,80.33,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
636,Tomatlan,MX,87.37,scattered clouds,19.9333,-105.25,El Salvial
638,Malindi,KE,78.13,overcast clouds,-3.2175,40.1191,African House Resort
643,Chazuta,PE,86.85,broken clouds,-6.5742,-76.1367,El Duende
644,Biak,ID,76.69,broken clouds,-0.9131,122.8766,Penginapan Kim
645,Sassandra,CI,76.69,overcast clouds,4.95,-6.0833,la terrasse
657,Dehloran,IR,78.22,overcast clouds,32.6941,47.2679,کافه گیم استورم
663,Elesbao Veloso,BR,88.02,overcast clouds,-6.2019,-42.1403,Pousada Paraiso
664,Paramirim,BR,78.62,scattered clouds,-13.4425,-42.2389,Pousada Rio Pequeno
665,Phan Thiet,VN,75.99,overcast clouds,10.9333,108.1,Hotel Saigon-PT
666,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
667,Playas,EC,75.15,overcast clouds,-2.6333,-80.3833,Hostal Promenade
668,Pangai,TO,78.91,light rain,-19.8,-174.35,Ha'apai Beach Resort
677,Concordia,AR,89.78,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
679,La Concordia,NI,83.71,overcast clouds,13.1953,-86.1667,Parque de Ferias
682,Lehigh Acres,US,82.98,broken clouds,26.6254,-81.6248,Lehigh Resort Club
687,Moron,AR,85.93,broken clouds,-34.6534,-58.6198,Hotel Morón
688,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
699,Ternate,ID,80.91,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
